Dataset,Oversampling,Classifier,k,,AE Loss CE,AE Loss CE Validation,AE Loss MSE,AE Loss MSE Validation,Balanced F-Measure,Diversity,F1-Score Macro,FN,FP,G-Measure,Majority Accuracy,Minority Accuracy,ROC AUC Score,TN,TP
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,10000,50%,0.5887965043361059,0.5886969351778539,0.0015176774249494207,0.001614501249116108,0.44029850746268656,17.660706354488674,0.7194893561474482,36.0,111.0,0.7896813054473543,0.9980479397850975,0.6326530612244898,0.8091689764909358,56752.0,62.0
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,10000,75%,0.5890277750358313,0.5939221366068514,0.0015449090401321746,0.0017058335435148051,0.56,18.191067412952535,0.7797099462082059,39.0,814.0,0.8638969678446046,0.9984524207305278,0.7474747474747475,0.8687724012188075,56775.0,74.0
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,10000,max,0.5910087885872366,0.5944284318075704,0.0015882896447797852,0.001748853558845896,0.5670498084291188,24.79976468823345,0.783027820730928,56.0,10329.0,0.8673081098011547,0.9998241387193781,0.9191919191919192,0.8729635841026375,56853.0,91.0
Creditcard Fraud,No Oversampling,Logistic Regression,10000,count,0.0,0.0,0.0,0.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Creditcard Fraud,No Oversampling,Logistic Regression,10000,mean,,,,,0.6205989329129147,,0.8100498356423815,48.6,8.2,0.7005170178594566,0.9998557937498902,0.5055040197897341,0.752679906769812,56854.8,49.8
Creditcard Fraud,No Oversampling,Logistic Regression,10000,std,,,,,0.12860028894173683,,0.0643442576868226,18.902380802428038,15.578831791889918,0.135432386262344,0.00027397133095144574,0.1937213273110949,0.09675266613005051,15.578831791889916,19.279522815671555
Creditcard Fraud,No Oversampling,Logistic Regression,10000,min,,,,,0.453125,,0.7262549266657293,21.0,0.0,0.5439790099706372,0.9993668993897613,0.29591836734693877,0.6479503906094383,56827.0,29.0
Creditcard Fraud,No Oversampling,Logistic Regression,10000,25%,,,,,0.5147058823529411,,0.7570629230723103,42.0,1.0,0.5975985398767224,0.9999472416158135,0.35714285714285715,0.6785450493793352,56860.0,35.0
Creditcard Fraud,No Oversampling,Logistic Regression,10000,50%,,,,,0.6754966887417219,,0.8375330032969681,48.0,1.0,0.7177342513988016,0.9999824138719379,0.5151515151515151,0.7575669645117264,56862.0,51.0
Creditcard Fraud,No Oversampling,Logistic Regression,10000,75%,,,,,0.7272727272727273,,0.8634517774609892,63.0,3.0,0.7559289460184544,0.9999824138719379,0.5714285714285714,0.7857142857142857,56862.0,56.0
Creditcard Fraud,No Oversampling,Logistic Regression,10000,max,,,,,0.7323943661971831,,0.8659465477159108,69.0,36.0,0.8873443420326675,1.0,0.7878787878787878,0.8936228436342746,56863.0,78.0
Creditcard Fraud,SMOTE,Logistic Regression,10000,count,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Creditcard Fraud,SMOTE,Logistic Regression,10000,mean,,,,,0.2665637455427012,1.1623322082840337,0.6306512556128722,11.4,583.0,0.9350474006558684,0.9897472873397464,0.8840032982890126,0.9368752928143795,56280.0,87.0
Creditcard Fraud,SMOTE,Logistic Regression,10000,std,,,,,0.1167231875133988,0.07500643858072963,0.059807036962645686,4.774934554525329,361.73747386744435,0.02340646723517344,0.006361561540324017,0.04884751168875378,0.022117367390638618,361.73747386744435,5.1478150704935
Creditcard Fraud,SMOTE,Logistic Regression,10000,min,,,,,0.1412639405204461,1.0789473108879233,0.5655022391380777,4.0,191.0,0.9093513291990003,0.9797583666004256,0.8367346938775511,0.912502373230037,55712.0,82.0
Creditcard Fraud,SMOTE,Logistic Regression,10000,25%,,,,,0.1936245572609209,1.1211445862432612,0.5937921592406749,10.0,397.0,0.9187458571992128,0.9882700525825229,0.8469387755102041,0.9217899125251634,56196.0,83.0
Creditcard Fraud,SMOTE,Logistic Regression,10000,50%,,,,,0.25323741007194245,1.146779118976471,0.6243268488532585,12.0,509.0,0.9341586865977657,0.991048660816348,0.8787878787878788,0.9359030929735959,56354.0,87.0
Creditcard Fraud,SMOTE,Logistic Regression,10000,75%,,,,,0.29845626072041165,1.188835224484619,0.647423840650392,15.0,667.0,0.9433563729828367,0.9930183071593127,0.8979591836734694,0.9445039222449086,56466.0,88.0
Creditcard Fraud,SMOTE,Logistic Regression,10000,max,,,,,0.44623655913978494,1.2759548008278943,0.7222111901819577,16.0,1151.0,0.9696247573005267,0.9966410495401228,0.9595959595959596,0.9696771630981924,56672.0,95.0
