Dataset,Oversampling,Classifier,k,,AE Loss CE,AE Loss CE Validation,AE Loss MSE,AE Loss MSE Validation,Balanced F-Measure,Diversity,F1-Score Macro,FN,FP,G-Measure,Majority Accuracy,Minority Accuracy,ROC AUC Score,TN,TP,k
Creditcard Fraud,No Oversampling,Logistic Regression,1000,25%,,,,,0.5147058823529411,,0.7570629230723103,42.0,1.0,0.5975985398767224,0.9999472416158135,0.35714285714285715,0.6785450493793352,56860.0,35.0,
Creditcard Fraud,No Oversampling,Logistic Regression,1000,50%,,,,,0.6754966887417219,,0.8375330032969681,48.0,1.0,0.7177342513988016,0.9999824138719379,0.5151515151515151,0.7575669645117264,56862.0,51.0,
Creditcard Fraud,No Oversampling,Logistic Regression,1000,75%,,,,,0.7272727272727273,,0.8634517774609892,63.0,3.0,0.7559289460184544,0.9999824138719379,0.5714285714285714,0.7857142857142857,56862.0,56.0,
Creditcard Fraud,No Oversampling,Logistic Regression,1000,max,,,,,0.7323943661971831,,0.8659465477159108,69.0,36.0,0.8873443420326675,1.0,0.7878787878787878,0.8936228436342746,56863.0,78.0,
Creditcard Fraud,SMOTE,Logistic Regression,1000,count,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Creditcard Fraud,SMOTE,Logistic Regression,1000,mean,,,,,0.2670378227749167,1.1625261772651352,0.6309090236455389,11.4,578.4,0.9350873508260136,0.9898281835288325,0.8840032982890126,0.9369157409089226,56284.6,87.0,1000.0
Creditcard Fraud,SMOTE,Logistic Regression,1000,std,,,,,0.11803956524798172,0.07549898867544814,0.060407370042649185,4.774934554525329,348.505093219597,0.023469497680706667,0.00612885519968341,0.04884751168875378,0.02217945922901877,348.505093219597,5.1478150704935,0.0
Creditcard Fraud,SMOTE,Logistic Regression,1000,min,,,,,0.1445966514459665,1.0789617546935304,0.567307649939305,4.0,185.0,0.9094322345017217,0.9803035365703533,0.8367346938775511,0.912590303870348,55743.0,82.0,1000.0
Creditcard Fraud,SMOTE,Logistic Regression,1000,25%,,,,,0.1959378733572282,1.115676428868928,0.5949932988840347,10.0,411.0,0.9187944908211618,0.9884459138631447,0.8469387755102041,0.92184267090935,56206.0,83.0,1000.0
Creditcard Fraud,SMOTE,Logistic Regression,1000,50%,,,,,0.24964539007092199,1.1454564548107449,0.6224864734432972,12.0,519.0,0.9340428732556127,0.9908727995357263,0.8787878787878788,0.9357799900771605,56344.0,87.0,1000.0
Creditcard Fraud,SMOTE,Logistic Regression,1000,75%,,,,,0.2914572864321608,1.2012299113691949,0.643862362453332,15.0,657.0,0.9432726701200168,0.9927721013664421,0.8979591836734694,0.9444159916045978,56452.0,88.0,1000.0
Creditcard Fraud,SMOTE,Logistic Regression,1000,max,,,,,0.453551912568306,1.2713063365832777,0.7258953335077254,16.0,1120.0,0.9698944854315551,0.9967465663084959,0.9595959595959596,0.9699497480831564,56678.0,95.0,1000.0
