Dataset,Oversampling,Classifier,k,,Balanced F-Measure,Diversity,F1-Score Macro,FN,FP,G-Measure,Majority Accuracy,Minority Accuracy,ROC AUC Score,TN,TP,ae_loss,k,kmeans_n_init
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,400,50%,0.00818926296633303,5.432409898992074,0.42842770556038595,18.0,15129.0,0.7488055236034474,0.7339394685472099,0.8163265306122449,0.7629357962439227,41734.0,80.0,0.5884578169591882,400.0,
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,400,75%,0.010452734043248186,6.662307090104647,0.45558717585849046,30.0,16964.0,0.7740376347688391,0.8108787788192674,0.8686868686868687,0.7751329995797274,46109.0,86.0,0.5886629684825954,400.0,
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,400,max,0.015723557912057776,6.8148058751849705,0.49436715602060716,97.0,21791.0,0.8392852597640098,0.976645621933419,0.9090909090909091,0.839782823753068,55535.0,90.0,0.5913095352551808,400.0,
Creditcard Fraud,No Oversampling,Logistic Regression,400,count,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0
Creditcard Fraud,No Oversampling,Logistic Regression,400,mean,0.6205989329129147,,0.8100498356423815,48.6,8.2,0.7005170178594566,0.9998557937498902,0.5055040197897341,0.752679906769812,56854.8,49.8,,,
Creditcard Fraud,No Oversampling,Logistic Regression,400,std,0.12860028894173683,,0.0643442576868226,18.902380802428038,15.578831791889918,0.135432386262344,0.00027397133095144574,0.1937213273110949,0.09675266613005051,15.578831791889916,19.279522815671555,,,
Creditcard Fraud,No Oversampling,Logistic Regression,400,min,0.453125,,0.7262549266657293,21.0,0.0,0.5439790099706372,0.9993668993897613,0.29591836734693877,0.6479503906094383,56827.0,29.0,,,
Creditcard Fraud,No Oversampling,Logistic Regression,400,25%,0.5147058823529411,,0.7570629230723103,42.0,1.0,0.5975985398767224,0.9999472416158135,0.35714285714285715,0.6785450493793352,56860.0,35.0,,,
Creditcard Fraud,No Oversampling,Logistic Regression,400,50%,0.6754966887417219,,0.8375330032969681,48.0,1.0,0.7177342513988016,0.9999824138719379,0.5151515151515151,0.7575669645117264,56862.0,51.0,,,
Creditcard Fraud,No Oversampling,Logistic Regression,400,75%,0.7272727272727273,,0.8634517774609892,63.0,3.0,0.7559289460184544,0.9999824138719379,0.5714285714285714,0.7857142857142857,56862.0,56.0,,,
Creditcard Fraud,No Oversampling,Logistic Regression,400,max,0.7323943661971831,,0.8659465477159108,69.0,36.0,0.8873443420326675,1.0,0.7878787878787878,0.8936228436342746,56863.0,78.0,,,
Creditcard Fraud,SMOTE,Logistic Regression,400,count,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,0.0
Creditcard Fraud,SMOTE,Logistic Regression,400,mean,0.2677237106161897,1.1619060211561605,0.6312563788242069,11.4,577.4,0.9350952517548038,0.9898457696568947,0.8840032982890126,0.9369245339729536,56285.6,87.0,,400.0,
Creditcard Fraud,SMOTE,Logistic Regression,400,std,0.11883473757204133,0.07470894735090246,0.060807463794720455,4.774934554525329,349.88040813969565,0.023452104352939217,0.0061530416639940825,0.04884751168875378,0.022161077465402246,349.88040813969565,5.1478150704935,,0.0,
Creditcard Fraud,SMOTE,Logistic Regression,400,min,0.1442672741078208,1.0847312079534488,0.5671295076481008,4.0,183.0,0.909464594607573,0.9802507781861668,0.8367346938775511,0.9126254761264723,55740.0,82.0,,400.0,
Creditcard Fraud,SMOTE,Logistic Regression,400,25%,0.19687875150060025,1.1150638480449837,0.5954815283911405,10.0,414.0,0.9188107014564273,0.9885162583753935,0.8469387755102041,0.9218602570374123,56210.0,83.0,,400.0,
Creditcard Fraud,SMOTE,Logistic Regression,400,50%,0.25142857142857145,1.1406855640417435,0.6234002478064586,12.0,514.0,0.9340180542425682,0.9909607301760371,0.8787878787878788,0.9357536108850673,56349.0,87.0,,400.0,
Creditcard Fraud,SMOTE,Logistic Regression,400,75%,0.29,1.194660592336727,0.6431204334474604,15.0,653.0,0.9433145224798246,0.9927193429822556,0.8979591836734694,0.9444599569247534,56449.0,88.0,,400.0,
Creditcard Fraud,SMOTE,Logistic Regression,400,max,0.45604395604395603,1.2743888934038994,0.7271501768278745,16.0,1123.0,0.969868385987625,0.9967817385646203,0.9595959595959596,0.9699233688910632,56680.0,95.0,,400.0,
