Dataset,Oversampling,Classifier,Balanced F-Measure,G-Measure,ROC AUC Score
MNIST Imbalanced 7+8,K-Means on Autoencoder Encoding,Support Vector,0.9308422327918873,0.9327321687507759,0.9098835969811965
MNIST Imbalanced 7+8,No Clustering (=SMOTE),Gradient Boosting,0.9779299366477608,0.9779530713957476,0.9807838203800981
MNIST Imbalanced 7+8,No Clustering (=SMOTE),Logistic Regression,0.9837511456143189,0.9838165147428085,0.9886277831558565
MNIST Imbalanced 7+8,No Clustering (=SMOTE),Random Forest,0.9735679986280227,0.9735781724176361,0.9754411975704242
MNIST Imbalanced 7+8,No Clustering (=SMOTE),Support Vector,0.9713028906577295,0.9715438333947269,0.9626604833919679
MNIST Imbalanced 7+8,No Oversampling,Gradient Boosting,0.9778424712922529,0.9779072971339602,0.9826597289448209
MNIST Imbalanced 7+8,No Oversampling,Logistic Regression,0.9850798644724104,0.9853478000876409,0.9951830443159924
MNIST Imbalanced 7+8,No Oversampling,Random Forest,0.9764120713568321,0.976453292580316,0.9802296656253615
MNIST Imbalanced 7+8,No Oversampling,Support Vector,0.9745845018933401,0.9749053756950912,0.9855307938838892
MNIST Imbalanced 7+8,Random Clustering,Gradient Boosting,0.9686043846917729,0.968922507782597,0.979413690801028
MNIST Imbalanced 7+8,Random Clustering,Logistic Regression,0.9821676501214855,0.9823368826692338,0.9900976030417655
MNIST Imbalanced 7+8,Random Clustering,Random Forest,0.9749872615341288,0.9750102997215019,0.9778236068029693
MNIST Imbalanced 7+8,Random Clustering,Support Vector,0.9766876849339674,0.9766977285235556,0.9748495635223324
